

 ! The solution file is: Results/13SecNAI

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , 0.88093865    ,
 China       , -4.2765012    ,
 xAmericas   , -3.2648427    ,
 AdvancedAsia, -3.3432965    ,
 SouthAsia   , -3.2984953    ,
 xAsia       , -3.2930083    ,
 WEuroCndANZ , -3.1668062    ,
 MENA        , -2.7055957    ,
 SSA         , -3.4123430    ,
 RestofWorld , -2.7533565    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  14.535874    ,
 China       , -1.7826109    ,
 xAmericas   , -3.3555698    ,
 AdvancedAsia, -4.6024809    ,
 SouthAsia   , -4.4633155    ,
 xAsia       , -4.4586296    ,
 WEuroCndANZ , -2.8514423    ,
 MENA        , -5.5497794    ,
 SSA         , -3.3872924    ,
 RestofWorld , -3.4291027    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Trade       , -9.7715454    , -4.9476099    , -3.1831326    , -3.8434231    , -3.0963025    , -3.4104288    , -3.7391741    , -2.3238204    , -4.0518012    , -1.7636503    ,
 Transport   ,  3.2658701    , -4.7902112    , -3.3902495    , -3.9625866    , -4.0479531    , -3.7972546    , -3.7683797    , -2.9150569    , -3.9477286    , -3.4075210    ,
 OthServices ,  7.7860832    , -5.0296893    , -3.5594320    , -3.9570153    , -4.0020871    , -3.7970073    , -3.7761261    , -3.3024197    , -4.1572833    , -3.3261352    ,
 CGDS        , 0.13371779    , -4.9855208    , -3.9813559    , -4.0592279    , -4.0147595    , -4.0093131    , -3.8840463    , -3.4262514    , -4.1277637    , -3.4736581    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.3684053    , -4.3987536    , -3.2463007    , -4.3360887    , -5.5547352    , -5.1345577    , -5.1236839    , -5.4229441    , -5.9002781    , -5.5221014    ,
 Extraction  , -4.4366121    , -4.5217080    , -3.7484941    , -4.6455703    , -4.5972586    , -4.7310324    , -4.5274024    , -4.5409818    , -4.5707979    , -4.6988444    ,
 LightMnfc   , -4.3269763    , -5.2562757    , -5.9701371    , -5.2882710    , -4.7692089    , -4.7977891    , -4.7565536    , -4.7014194    , -4.6870360    , -4.4304695    ,
 HeavyMnfc   , -4.1656032    , -4.3707399    , -5.7496657    , -4.8070612    , -4.4485497    , -4.4874229    , -4.6085153    , -4.2817965    , -4.3556242    , -4.2604818    ,
 Energy      , -3.7995169    , -3.7046473    , -2.8944573    , -3.8621347    , -3.9011590    , -4.0999436    , -3.7643862    , -3.8069580    , -3.8615761    , -3.9275715    ,
 CMN         , -3.3578804    , -1.9847364    , -2.1662791    , -1.5481533    , -1.8938882    , -2.1140184    , -2.1272814    , -1.9418695    , -2.1955314    , -2.2159777    ,
 OBS         , -3.9052777    , -2.5501890    , -2.4896309    , -2.0459058    , -2.4024909    , -2.4425023    , -2.4166989    , -2.1404719    , -2.4132738    , -2.4022026    ,
 Trade       , -3.5786407    , -3.8136981    , -4.1692839    , -4.0967841    , -4.2511339    , -4.0410795    , -4.0482688    , -4.3736267    , -4.1477046    , -4.1971192    ,
 Transport   , -3.7525418    , -2.7409310    , -2.9724288    , -2.7842298    , -2.8342030    , -3.0222149    , -2.9872041    , -3.1492999    , -3.0426278    , -3.1142259    ,
 OthServices , -3.8057413    , -1.8054579    ,-0.93323535    , -1.2208554    , -1.1342337    , -1.7547137    , -1.6031796    , -1.0824394    , -1.3796197    , -2.0803921    ,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  31.663301    , -4.2674069    , -6.0242090    , -6.4668126    , -5.6238008    , -5.6718216    , -1.4116358    , -3.1082897    , -1.0267650    , -1.8570040    ,
 Extraction  ,  38.716301    , -4.2281528    , -4.7568731    , -6.9892364    , -6.8692131    , -4.5394135    , -1.0528532    , -3.9906821    , -2.2564764    , -2.2521148    ,
 LightMnfc   ,  8.5815477    ,-0.37980920    ,  2.9701250    ,-0.92696500    , -2.4763396    , -1.9056913    ,-0.32830518    , -2.7474506    , -1.4613823    ,-0.72324514    ,
 HeavyMnfc   ,  12.389903    , -2.2827859    ,  3.4845614    , -1.4898875    , -2.2026756    , -1.7362361    ,-0.88560224    , -2.8497982    , -2.0024877    , -1.5011013    ,
 Energy      ,  22.495964    , -3.8670213    , -4.3366547    , -4.4619956    , -4.6535649    , -3.7439892    , -2.2668302    , -4.3270612    , -3.1572890    , -2.5412359    ,
 CMN         ,  31.641270    , -6.4328289    , -5.2759905    , -8.0630016    , -7.2238760    , -6.4847918    , -4.9128513    , -6.6787868    , -5.7169633    , -4.3115506    ,
 OBS         ,  34.179070    , -5.7627239    , -5.0593653    , -7.6058869    , -6.2377386    , -6.3845310    , -4.7057447    , -6.8713808    , -5.2653403    , -4.2037730    ,
