

 ! The solution file is: Results/15China

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         ,  3.4498768    ,
 China       , -7.9437671    ,
 xAmericas   ,  2.1458127    ,
 AdvancedAsia, 0.66030955    ,
 SouthAsia   ,  1.6231587    ,
 xAsia       ,  1.5489421    ,
 WEuroCndANZ ,  1.8029629    ,
 MENA        ,  3.5613842    ,
 SSA         ,  5.1839571    ,
 RestofWorld ,  4.0036116    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  1.2229846    ,
 China       ,  40.185959    ,
 xAmericas   ,  8.8005095    ,
 AdvancedAsia,  6.0384922    ,
 SouthAsia   ,  5.5809360    ,
 xAsia       ,  9.6980696    ,
 WEuroCndANZ ,  4.0939918    ,
 MENA        ,  18.557503    ,
 SSA         ,  12.177920    ,
 RestofWorld ,  12.953392    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Extraction  , -12.773204    ,  7.0881386    , -1.6172698    , -7.3840079    ,-0.54455757    , 7.86830932E-02, -14.086699    ,  6.4783516    ,  4.7403054    ,  2.5266120    ,
 LightMnfc   , 0.15699677    ,  23.016596    ,  5.8509531    ,  4.6628966    ,  2.5284405    ,  4.5662546    ,  2.9849820    ,  12.268681    ,  5.2461963    ,  4.6874976    ,
 HeavyMnfc   , -1.3854483    ,  43.076542    ,  6.6555557    ,  3.2770646    ,  1.1308315    ,  6.4426689    ,  2.3685315    ,  13.236811    ,  1.9466408    , -5.3286633    ,
 Energy      , -7.6007743    ,  22.999571    ,  2.6128049    , -4.3827462    ,  1.5962418    ,  2.5809271    , -3.2267914    ,  9.7629213    ,  6.6264443    ,  5.8817339    ,
 CMN         ,  1.5485275    ,  38.012474    ,  9.6885862    ,  7.7183652    ,  5.0277481    ,  9.5734091    ,  5.6946821    ,  19.010639    ,  11.231972    ,  12.585986    ,
 OBS         , 0.19606818    ,  50.469395    ,  10.889890    ,  7.2446609    ,  7.2339954    ,  10.932389    ,  5.4409490    ,  20.192608    ,  11.964532    ,  13.456657    ,
 Trade       ,  1.9652131    ,  52.815948    ,  11.204798    ,  7.6913295    ,  7.3603449    ,  12.194219    ,  5.2333574    ,  22.791075    ,  15.262902    ,  16.694798    ,
 Transport   , -1.4295833    ,  36.323715    ,  6.9636965    ,  4.9302349    ,  4.1821179    ,  6.7135496    ,  1.7808701    ,  14.974496    ,  9.3478107    ,  8.2336378    ,
 OthServices ,  2.0830331    ,  47.455177    ,  10.372570    ,  7.4152074    ,  6.3114862    ,  11.029072    ,  5.2913637    ,  20.504156    ,  13.477724    ,  13.632020    ,

