

 ! The solution file is: Results/11SecAI

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -12.979061    ,
 China       , -2.8103085    ,
 xAmericas   , -2.2127459    ,
 AdvancedAsia, -3.1976974    ,
 SouthAsia   , -3.1314068    ,
 xAsia       , -2.7345128    ,
 WEuroCndANZ , -3.3521507    ,
 MENA        , -2.4612517    ,
 SSA         , -2.6317878    ,
 RestofWorld , -2.8549385    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  24.619862    ,
 China       ,  1.6984670    ,
 xAmericas   ,  2.3036332    ,
 AdvancedAsia,  1.1634028    ,
 SouthAsia   , 0.72203946    ,
 xAsia       ,  1.6229769    ,
 WEuroCndANZ ,  2.0057664    ,
 MENA        ,  2.6006005    ,
 SSA         ,  2.9555168    ,
 RestofWorld ,  3.4544680    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  12.172872    , -2.9453163    , -1.0645621    , -3.1812286    , -3.4766130    , -1.1756982    , -1.2203965    , 0.59051341    ,  1.1326911    ,  1.1535317    ,
 Extraction  ,  24.636560    , -7.7907491    , -3.9408472    , -6.7735925    , -9.0888548    , -3.7789977    , -1.6706384    , -2.1941831    , -1.2883811    , -1.4998771    ,
 LightMnfc   ,  8.0709667    , 0.63486451    ,  2.6750798    , -1.1259806    , -1.8342631    , 0.49256361    ,-0.32726192    ,  1.5443898    ,  2.0202129    ,  2.3366194    ,
 HeavyMnfc   ,  6.5252819    , 0.46956378    ,  4.0206838    ,-0.86956483    , -1.3570352    , 0.57221103    ,-0.17736761    ,  1.6668404    ,  1.5459040    ,  2.2977803    ,
 Energy      ,  4.8118057    , -1.9313097    ,  3.0688801    , -2.4366434    , -4.0129509    , -1.6635438    , -2.0992200    , 0.54841989    ,-8.79926905E-02,-9.69190225E-02,
 CMN         , -8.3744135    ,  7.9156375    ,  9.3512917    ,  9.1179667    ,  6.4280090    ,  7.6833372    ,  6.6192069    ,  9.5003414    ,  8.8877707    ,  9.0230865    ,
 OBS         , -9.3325119    ,  7.6907644    ,  10.455235    ,  8.9503632    ,  5.2741098    ,  7.5295005    ,  7.7179737    ,  11.100649    ,  8.6044855    ,  9.6352539    ,
 Trade       ,  7.6858315    , 0.59556353    ,  2.5098989    ,-0.57601708    ,-0.76359153    , 0.75840342    , 1.11390250E-02,  2.2555072    ,  1.9454838    ,  2.7025106    ,
 Transport   , -2.0929935    ,  3.6103194    ,  4.9579377    ,  2.1577456    ,  1.8574009    ,  3.2502725    ,  2.5702796    ,  4.2831388    ,  4.6036916    ,  4.8816838    ,
