

 ! The solution file is: Results/12Aug

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -14.002965    ,
 China       , -7.6730704    ,
 xAmericas   , -6.0369778    ,
 AdvancedAsia, -7.1089320    ,
 SouthAsia   , -6.9110460    ,
 xAsia       , -6.5712571    ,
 WEuroCndANZ , -7.0090117    ,
 MENA        , -5.5510678    ,
 SSA         , -6.4100718    ,
 RestofWorld , -5.9267983    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  46.185757    ,
 China       , 0.15657438    ,
 xAmericas   ,-0.58126324    ,
 AdvancedAsia, -3.3371081    ,
 SouthAsia   , -3.5009115    ,
 xAsia       , -2.5855246    ,
 WEuroCndANZ ,-0.65775537    ,
 MENA        , -2.5374672    ,
 SSA         ,-6.89670965E-02,
 RestofWorld , 0.38710257    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.6696062    , -4.0020094    , -2.0104868    , -4.0731359    , -6.1027575    , -5.4522066    , -5.6452284    , -6.0563703    , -6.6196642    , -6.3113556    ,
 Extraction  , -1.6630692    , -2.0576744    ,-0.37108582    , -2.2390976    , -2.0810590    , -2.4492366    , -2.0158517    , -2.0646040    , -2.0801833    , -2.5094910    ,
 LightMnfc   , -5.5228496    , -6.8053255    , -7.5029097    , -6.7558079    , -6.0566134    , -6.1367245    , -6.2630420    , -6.0575047    , -5.9456921    , -5.7221732    ,
 HeavyMnfc   , -5.2344542    , -5.8261290    , -7.7600083    , -6.2936397    , -5.7007132    , -5.8038459    , -6.2237124    , -5.5377207    , -5.5638103    , -5.4479609    ,
 Energy      , -2.9160762    , -3.0200765    , -3.2599788    , -3.1625323    , -3.1041873    , -3.3020356    , -3.1643138    , -3.1196921    , -3.1206782    , -3.0759940    ,
 CMN         , -5.0077367    , -6.5047550    , -6.4149404    , -7.1512356    , -6.6751447    , -6.4970384    , -6.4694257    , -6.7413268    , -6.3744969    , -6.3895583    ,
 OBS         , -5.6003208    , -6.8141870    , -6.9857912    , -7.4071565    , -7.0408850    , -7.0199251    , -7.0284343    , -7.3552632    , -7.0568480    , -7.0704198    ,
 Trade       , -5.1061506    , -5.5491490    , -6.0319452    , -5.8941150    , -6.1644573    , -5.8275290    , -5.8279037    , -6.3315787    , -5.9782138    , -6.0708504    ,
 Transport   , -4.6536689    , -5.5359397    , -5.5251703    , -5.7878547    , -5.6255984    , -5.4537315    , -5.4884329    , -5.3905668    , -5.4531493    , -5.3546100    ,
 OthServices , -5.3965735    , -7.4095235    , -8.3011065    , -8.1576157    , -8.0729370    , -7.5992222    , -7.7121930    , -8.2184782    , -7.9441361    , -7.3050008    ,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  53.424248    , -8.7023802    , -8.6072702    , -10.877051    , -9.4321337    , -7.2290754    , -3.1279411    , -2.3845608    , 0.17061388    ,-0.49655372    ,
 Extraction  ,  77.423477    , -13.212111    , -8.0625153    , -14.757559    , -16.529453    , -8.8007555    , -2.5716577    , -6.0450869    , -3.6312344    , -3.7620506    ,
 LightMnfc   ,  16.858374    , 0.32728112    ,  6.7286291    , -2.0280335    , -4.0412302    , -1.2109710    ,-0.57113391    ,-0.63717598    ,  1.1655300    ,  2.3317728    ,
 HeavyMnfc   ,  18.921366    , -1.7576784    ,  9.3120003    , -2.0731471    , -3.1682656    ,-0.83951193    ,-0.85704428    ,-0.54097670    , 2.03605350E-02,  1.3834743    ,
 Energy      ,  28.462446    , -6.3467011    , -1.1592001    , -7.3014455    , -8.8699961    , -5.6494045    , -4.7118788    , -3.5423734    , -3.1637247    , -2.5503325    ,
 CMN         ,  20.579700    ,-0.76042068    ,  2.4458880    , -1.7561456    , -2.7256219    ,-0.72342354    ,-3.43187563E-02,  1.3237891    ,  1.7888951    ,  3.5833259    ,
 OBS         ,  22.038378    ,-0.56006831    ,  3.1905823    , -1.8759916    , -2.8707139    , -1.0559759    , 0.67564458    ,  1.9625988    ,  1.7124419    ,  3.8181145    ,
 Trade       ,  22.820755    , -2.9377379    ,  1.1216322    , -4.4192348    , -2.9646239    , -2.3832569    , -1.6083207    , 4.30779606E-02,-0.29688188    ,  3.3240058    ,
 Transport   ,  24.480539    , -2.4751654    , 0.59308475    , -4.4631433    , -4.6778293    , -2.7770381    , -1.7489346    ,-0.68710488    ,-9.16873962E-02,  1.5345880    ,
 OthServices ,  21.535965    , 0.83472538    ,  6.1827183    , 0.14161392    ,-6.79702759E-02, 0.98508459    ,  2.2344022    ,  4.3976159    ,  4.5576692    ,  4.9934430    ,


 ! Variable pim # market price of composite import i in region r #
 ! Variable pim(TRAD_COMM:REG) of size 10x10
 
 pim(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , -5.6696062    , -4.0020094    , -2.0104868    , -4.0731359    , -6.1027575    , -5.4522066    , -5.6452284    , -6.0563703    , -6.6196642    , -6.3113556    ,
 Extraction  , -1.6630692    , -2.0576744    ,-0.37108582    , -2.2390976    , -2.0810590    , -2.4492366    , -2.0158517    , -2.0646040    , -2.0801833    , -2.5094910    ,
 LightMnfc   , -5.5228496    , -6.8053255    , -7.5029097    , -6.7558079    , -6.0566134    , -6.1367245    , -6.2630420    , -6.0575047    , -5.9456921    , -5.7221732    ,
 HeavyMnfc   , -5.2344542    , -5.8261290    , -7.7600083    , -6.2936397    , -5.7007132    , -5.8038459    , -6.2237124    , -5.5377207    , -5.5638103    , -5.4479609    ,
 Energy      , -2.9160762    , -3.0200765    , -3.2599788    , -3.1625323    , -3.1041873    , -3.3020356    , -3.1643138    , -3.1196921    , -3.1206782    , -3.0759940    ,
 CMN         , -5.0077367    , -6.5047550    , -6.4149404    , -7.1512356    , -6.6751447    , -6.4970384    , -6.4694257    , -6.7413268    , -6.3744969    , -6.3895583    ,
 OBS         , -5.6003208    , -6.8141870    , -6.9857912    , -7.4071565    , -7.0408850    , -7.0199251    , -7.0284343    , -7.3552632    , -7.0568480    , -7.0704198    ,
 Trade       , -5.1061506    , -5.5491490    , -6.0319452    , -5.8941150    , -6.1644573    , -5.8275290    , -5.8279037    , -6.3315787    , -5.9782138    , -6.0708504    ,
 Transport   , -4.6536689    , -5.5359397    , -5.5251703    , -5.7878547    , -5.6255984    , -5.4537315    , -5.4884329    , -5.3905668    , -5.4531493    , -5.3546100    ,
 OthServices , -5.3965735    , -7.4095235    , -8.3011065    , -8.1576157    , -8.0729370    , -7.5992222    , -7.7121930    , -8.2184782    , -7.9441361    , -7.3050008    ,


 ! Variable ppd # price of domestic i to private households in s #
 ! Variable ppd(TRAD_COMM:REG) of size 10x10
 
 ppd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  3.3220541    , -7.2681727    , -4.6684532    , -7.0827556    , -9.4169321    , -8.0872669    , -6.2908120    , -6.4616022    , -6.5978556    , -7.0982251    ,
 Extraction  ,  6.4615879    , -4.0446911    ,-0.84799957    , -4.0120039    , -4.3261991    , -3.0875111    , -1.2292060    , -2.0953524    , -1.8668082    , -2.6703413    ,
 LightMnfc   , -12.171467    , -6.2505884    , -4.3157763    , -5.8659945    , -5.8877397    , -5.2650123    , -5.7018700    , -4.3498387    , -4.8375039    , -4.5391326    ,
 HeavyMnfc   , -12.524786    , -5.7891078    , -4.1029816    , -5.3240738    , -4.8768859    , -4.8715811    , -5.4998169    , -3.3074255    , -4.2321801    , -3.8363709    ,
 Energy      , -3.4733305    , -4.2691202    , -1.6202524    , -3.1814106    , -4.2968383    , -3.1319275    , -3.2448194    , -2.0617881    , -2.9048221    , -3.0650649    ,
 CMN         , -14.416725    , -6.1405625    , -3.6485367    , -5.4587774    , -5.4952359    , -4.3736906    , -5.1772799    , -3.2310522    , -4.3185577    , -3.5771134    ,
 OBS         , -15.035907    , -6.5924139    , -4.0883207    , -6.0964460    , -6.1765466    , -5.5489717    , -5.5765810    , -4.0122499    , -5.0486922    , -4.0110874    ,
 Trade       , -14.334770    , -6.4590683    , -3.6268640    , -5.6109076    , -4.7202101    , -4.6554017    , -5.5030293    , -2.8708465    , -4.8617077    , -2.4662790    ,
 Transport   , -10.879663    , -5.9440160    , -3.4559274    , -5.3899465    , -5.4648666    , -4.3870091    , -4.9375043    , -2.8798025    , -4.2942452    , -3.4371102    ,
 OthServices , -14.155822    , -6.4289637    , -4.0541577    , -5.7147493    , -5.7883153    , -5.0179634    , -5.5597801    , -3.9849815    , -4.9131212    , -4.1914010    ,


 ! Variable qpd # private hhld demand for domestic i in region s #
 ! Variable qpd(TRAD_COMM:REG) of size 10x10
 
 qpd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
