

 ! The solution file is: Results/16LowSk

 ! Variable psave # price of savings in region r #
 ! Variable psave(REG) of size 10
 
 USA         , -2.0978875    ,
 China       ,-0.52368772    ,
 xAmericas   , 0.33352041    ,
 AdvancedAsia,-9.31884423E-02,
 SouthAsia   ,-3.89098041E-02,
 xAsia       , 0.10614040    ,
 WEuroCndANZ ,-3.66343185E-02,
 MENA        , 0.57959431    ,
 SSA         , 0.10618354    ,
 RestofWorld , 0.43588027    ,


 ! Variable qsave # regional demand for NET savings #
 ! Variable qsave(REG) of size 10
 
 USA         ,  18.794535    ,
 China       ,-0.31355986    ,
 xAmericas   , -1.0111517    ,
 AdvancedAsia, -2.2118070    ,
 SouthAsia   , -2.2459121    ,
 xAsia       , -1.9514601    ,
 WEuroCndANZ ,-0.87940067    ,
 MENA        , -2.2831855    ,
 SSA         ,-0.84932578    ,
 RestofWorld ,-0.72122294    ,


 ! Variable pgd # price of domestic i in government consumption in s #
 ! Variable pgd(TRAD_COMM:REG) of size 10x10
 
 pgd(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 OBS         ,-0.23914441    ,-0.28630340    ,  1.0028198    , 0.11525285    , 9.12662223E-02, 0.32475793    , 0.39288259    ,  1.0346880    , 0.44692338    ,  1.0980308    ,
 Trade       , -3.0291421    ,-0.18933293    ,  1.2720360    , 0.38408673    , 0.86868274    , 0.82854843    , 0.41992679    ,  1.6904225    , 0.55742168    ,  1.9786640    ,
 Transport   , -3.1720390    , 2.31878329E-02,  1.2426322    , 0.40074205    , 0.33611315    , 0.79234487    , 0.58906734    ,  1.5131868    , 0.76827139    ,  1.1941597    ,
 OthServices ,-0.70894015    ,-0.20364587    ,  1.0194118    , 0.31915817    , 0.24811342    , 0.59409845    , 0.39319536    ,  1.0384102    , 0.50768870    , 0.96228278    ,
 CGDS        , -1.7429729    ,-0.16306645    , 0.69724917    , 0.26899353    , 0.32346895    , 0.46904495    , 0.32575271    , 0.94421512    , 0.46909201    , 0.79998016    ,


 ! Variable pgm # price of imports of i in government consumption in s #
 ! Variable pgm(TRAD_COMM:REG) of size 10x10
 
 pgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , 2.79768072E-02,  1.1024375    ,  2.3079491    ,  1.1360581    ,-9.86171588E-02, 0.29232246    , 0.13365242    ,-0.11008999    ,-0.43543071    ,-0.29706883    ,
 Extraction  ,  1.4791654    ,  1.3288517    ,  2.2121978    ,  1.2302240    ,  1.2938167    ,  1.1345812    ,  1.3552132    ,  1.3374699    ,  1.2972714    ,  1.1338371    ,
 LightMnfc   , 0.28897360    ,-0.37657797    ,-0.78141248    ,-0.36913911    ,-5.09523321E-03,-3.93576995E-02,-7.59084895E-02, 9.19962395E-03, 4.81013656E-02, 0.18300050    ,
 HeavyMnfc   , 0.42022800    , 0.17421558    ,-0.84206772    ,-9.61501971E-02, 0.19225965    , 0.14720105    ,-2.89029609E-02, 0.28885251    , 0.25629148    , 0.31377375    ,
 Energy      ,  1.2617081    ,  1.2213621    ,  1.3049004    ,  1.1382197    ,  1.1503475    ,  1.0388781    ,  1.1690310    ,  1.1693583    ,  1.1589019    ,  1.1587160    ,
 CMN         , 0.68859810    ,-0.23552376    ,-0.17285320    ,-0.64050227    ,-0.33808678    ,-0.22081549    ,-0.20253551    ,-0.38823521    ,-0.15021352    ,-0.15415935    ,
 OBS         , 0.34871957    , 0.32953662    , 0.28883162    , 0.26851270    , 0.29762104    , 0.29052988    , 0.29400733    , 0.26245058    , 0.28634730    , 0.28418648    ,
 Trade       , 0.61901242    , 0.43308985    , 0.27483225    , 0.30142489    , 0.25275987    , 0.32895458    , 0.32392922    , 0.16877218    , 0.28200406    , 0.27702516    ,
 Transport   , 0.70369041    , 0.16503099    , 0.19004995    , 3.33813950E-02, 0.12792550    , 0.23005433    , 0.20932421    , 0.26845345    , 0.23133992    , 0.28719449    ,
 OthServices , 0.44862521    , 0.23218046    , 0.10149144    , 9.22911167E-02, 0.14251514    , 0.17411999    , 0.16712326    , 0.10036524    , 0.13413407    , 0.20513961    ,


 ! Variable qgm # government hhld demand for imports of i in region s #
 ! Variable qgm(TRAD_COMM:REG) of size 10x10
 
 qgm(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture ,  25.976776    , -4.6198368    , -5.5073476    , -5.9899940    , -5.0249152    , -4.2246614    , -1.6136981    , -1.9155807    ,-0.41377553    ,-0.75031602    ,
 Extraction  ,  33.243225    , -5.3516779    , -4.2828622    , -6.6963201    , -7.3804593    , -4.0417271    , -1.1496516    , -3.1302185    , -1.7121119    , -1.8272065    ,
 LightMnfc   ,  8.1875553    ,-1.85851119E-02,  2.8158362    ,-0.98702502    , -2.1094940    ,-0.95543242    ,-0.36083484    , -1.0914514    ,-0.10712853    , 0.43394837    ,
 HeavyMnfc   ,  9.6981421    , -1.1485059    ,  3.7981415    , -1.1271611    , -1.7235838    ,-0.78858000    ,-0.57349759    , -1.0687294    ,-0.57987159    ,-3.80356796E-02,
 Energy      ,  14.929802    , -2.9210992    , -1.2207781    , -3.4823921    , -4.1225748    , -2.7915154    , -2.0740664    , -2.3382421    , -1.8277315    , -1.4972813    ,
 CMN         ,  9.1585732    ,-0.42407244    , 0.77587938    ,-0.70030421    , -1.3146790    ,-0.58370012    , 1.21810557E-02,-6.58887252E-03, 0.29577512    ,  1.2175575    ,
 OBS         ,  15.336958    , -1.6921115    ,-0.34458581    , -2.6895189    , -2.6849284    , -2.1087823    , -1.1236571    , -1.4227662    ,-0.94758689    ,-3.77296172E-02,
 Trade       ,  12.487111    , -1.8094326    ,-0.28912076    , -2.5501730    , -2.0000055    , -1.7753164    , -1.1531335    , -1.1493629    ,-0.96961921    , 0.65888244    ,
 Transport   ,  11.694846    , -1.1202372    ,-4.42268774E-02, -2.1310897    , -2.2367296    , -1.5869491    ,-0.78915346    , -1.0278412    ,-0.54017365    , 0.20702034    ,
 OthServices ,  14.556194    , -1.4573702    , 5.06091379E-02, -2.1907427    , -2.3291347    , -1.6462555    ,-0.87665224    ,-0.99734509    ,-0.54896736    , 0.19235790    ,


 ! Variable pim # market price of composite import i in region r #
 ! Variable pim(TRAD_COMM:REG) of size 10x10
 
 pim(TRAD_COMM:REG),USA            ,China          ,xAmericas      ,AdvancedAsia   ,SouthAsia      ,xAsia          ,WEuroCndANZ    ,MENA           ,SSA            ,RestofWorld    ,
 Agriculture , 2.79768072E-02,  1.1024375    ,  2.3079491    ,  1.1360581    ,-9.86171588E-02, 0.29232246    , 0.13365242    ,-0.11008999    ,-0.43543071    ,-0.29706883    ,
 Extraction  ,  1.4791654    ,  1.3288517    ,  2.2121978    ,  1.2302240    ,  1.2938167    ,  1.1345812    ,  1.3552132    ,  1.3374699    ,  1.2972714    ,  1.1338371    ,
 LightMnfc   , 0.28897360    ,-0.37657797    ,-0.78141248    ,-0.36913911    ,-5.09523321E-03,-3.93576995E-02,-7.59084895E-02, 9.19962395E-03, 4.81013656E-02, 0.18300050    ,
 HeavyMnfc   , 0.42022800    , 0.17421558    ,-0.84206772    ,-9.61501971E-02, 0.19225965    , 0.14720105    ,-2.89029609E-02, 0.28885251    , 0.25629148    , 0.31377375    ,
